iter	Passed	Remaining
0	53	32028
1	99	29681
2	144	28773
3	191	28538
4	239	28471
5	286	28341
6	331	28071
7	376	27862
8	425	27955
9	469	27692
10	516	27661
11	560	27472
12	603	27240
13	653	27372
14	699	27287
15	749	27339
16	794	27253
17	837	27068
18	877	26841
19	920	26680
20	960	26482
21	998	26240
22	1037	26017
23	1076	25843
24	1119	25742
25	1158	25582
26	1196	25392
27	1238	25297
28	1278	25163
29	1325	25182
30	1373	25204
31	1417	25166
32	1461	25115
33	1505	25069
34	1549	25007
35	1592	24949
36	1639	24943
37	1680	24848
38	1717	24705
39	1758	24621
40	1797	24507
41	1839	24443
42	1886	24432
43	1932	24415
44	1971	24321
45	2013	24252
46	2054	24168
47	2093	24079
48	2134	24003
49	2174	23918
50	2215	23852
51	2257	23785
52	2294	23683
53	2332	23579
54	2378	23570
55	2419	23507
56	2457	23412
57	2493	23303
58	2528	23182
59	2567	23109
60	2607	23043
61	2644	22950
62	2683	22871
63	2719	22776
64	2759	22716
65	2800	22658
66	2836	22565
67	2874	22489
68	2914	22432
69	2955	22380
70	2996	22328
71	3037	22277
72	3076	22207
73	3116	22150
74	3155	22091
75	3195	22034
76	3235	21976
77	3272	21898
78	3306	21805
79	3340	21714
80	3377	21642
81	3415	21578
82	3461	21559
83	3510	21563
84	3556	21547
85	3599	21515
86	3649	21520
87	3694	21493
88	3739	21468
89	3785	21449
90	3830	21424
91	3875	21396
92	3914	21341
93	3956	21297
94	3994	21233
95	4033	21174
96	4072	21119
97	4113	21071
98	4150	21002
99	4185	20926
100	4219	20846
101	4256	20779
102	4293	20716
103	4331	20655
104	4379	20645
105	4423	20614
106	4469	20593
107	4517	20577
108	4564	20561
109	4607	20522
110	4649	20484
111	4692	20445
112	4735	20407
113	4778	20369
114	4819	20326
115	4858	20270
116	4900	20230
117	4941	20182
118	4983	20141
119	5025	20102
120	5063	20045
121	5104	19999
122	5145	19953
123	5185	19904
124	5224	19851
125	5264	19804
126	5301	19745
127	5339	19689
128	5380	19643
129	5419	19592
130	5455	19530
131	5492	19472
132	5534	19433
133	5587	19431
134	5636	19413
135	5681	19385
136	5727	19355
137	5771	19320
138	5813	19279
139	5853	19233
140	5894	19187
141	5933	19138
142	5973	19089
143	6013	19041
144	6050	18986
145	6087	18930
146	6124	18872
147	6161	18817
148	6199	18764
149	6235	18705
150	6272	18651
151	6312	18604
152	6354	18565
153	6394	18519
154	6433	18469
155	6474	18426
156	6514	18382
157	6551	18327
158	6588	18273
159	6627	18224
160	6667	18180
161	6706	18131
162	6744	18080
163	6784	18036
164	6822	17987
165	6860	17935
166	6902	17895
167	6941	17849
168	6985	17814
169	7026	17773
170	7066	17729
171	7109	17691
172	7162	17679
173	7211	17655
174	7260	17632
175	7305	17599
176	7351	17569
177	7398	17540
178	7446	17514
179	7492	17481
180	7533	17439
181	7575	17398
182	7620	17364
183	7665	17330
184	7712	17301
185	7755	17262
186	7795	17217
187	7836	17173
188	7874	17123
189	7912	17075
190	7950	17025
191	7992	16985
192	8030	16935
193	8074	16898
194	8115	16854
195	8155	16810
196	8193	16761
197	8234	16717
198	8280	16686
199	8328	16656
200	8373	16621
201	8417	16584
202	8458	16541
203	8497	16495
204	8536	16448
205	8575	16401
206	8611	16350
207	8650	16303
208	8688	16253
209	8724	16202
210	8761	16153
211	8800	16106
212	8841	16064
213	8878	16014
214	8916	15966
215	8954	15919
216	8991	15870
217	9031	15826
218	9070	15779
219	9110	15737
220	9156	15702
221	9196	15659
222	9235	15613
223	9276	15571
224	9316	15527
225	9355	15482
226	9393	15435
227	9434	15393
228	9476	15352
229	9514	15306
230	9556	15265
231	9602	15231
232	9647	15195
233	9691	15158
234	9737	15123
235	9780	15085
236	9826	15051
237	9870	15013
238	9911	14970
239	9949	14924
240	9990	14881
241	10030	14837
242	10069	14794
243	10107	14747
244	10145	14701
245	10184	14655
246	10220	14607
247	10259	14562
248	10299	14519
249	10342	14479
250	10381	14434
251	10421	14390
252	10457	14343
253	10496	14298
254	10535	14254
255	10572	14207
256	10611	14161
257	10650	14118
258	10688	14072
259	10725	14025
260	10763	13980
261	10801	13934
262	10842	13893
263	10881	13849
264	10926	13812
265	10967	13771
266	11010	13732
267	11050	13689
268	11095	13652
269	11143	13620
270	11191	13586
271	11231	13543
272	11272	13501
273	11314	13462
274	11357	13422
275	11398	13380
276	11441	13341
277	11480	13298
278	11523	13257
279	11566	13218
280	11609	13179
281	11649	13136
282	11691	13095
283	11732	13054
284	11773	13013
285	11813	12969
286	11856	12930
287	11897	12888
288	11938	12847
289	11978	12804
290	12017	12760
291	12068	12729
292	12116	12695
293	12158	12654
294	12199	12613
295	12241	12572
296	12285	12533
297	12331	12496
298	12374	12457
299	12413	12413
300	12453	12370
301	12496	12331
302	12541	12292
303	12585	12254
304	12631	12217
305	12675	12178
306	12718	12138
307	12761	12098
308	12802	12056
309	12841	12013
310	12883	11972
311	12920	11927
312	12960	11884
313	12996	11838
314	13036	11795
315	13076	11752
316	13117	11710
317	13162	11672
318	13202	11629
